Rating,Grade,Score,Economy,Family,Health,Freedom,Trust,Generosity,Residual
good,A,7.28399992,1.564979553,1.510041952,0.843886793,0.601607382,0.47769925,0.464307785,20.065211
good,A,5.44,1.57352,0.33613,0.11466,0.56778,0.3118,0.46978,3.83772
good,A,7.187,1.57744,0.91451,0.81444,0.48181,0.21312,0.47179,3.60214
good,A,6.778,1.616463184,0.7146,0.71143,0.37709,0.18355,0.47407,3.55906
good,A,6.952,1.61714,1.03938,0.61415,0.40425,0.14166,0.47416,3.50733
good,A,6.355,1.626343369,0.83309,0.61804,0.21006,0.16157,0.47501,3.40904
good,A,5.897,1.632952452,0.83132,0.52309,0.25202,0.01903,0.4761,3.38007
good,A,7.087,1.64555,1.02152,0.76146,0.55225,0.10547,0.47678,3.35168
good,A,7.267,1.69042,0.99537,0.84917,0.36432,0.08728,0.47958,3.31029
good,A,6.983,1.69227767,1.23287,0.69702,0.49049,0.17521,0.47998,3.26001
good,A,6.068,1.69752,0.80975,0.596,0.37269,0.10613,0.48397,3.22134
good,A,6.324,1.741943598,0.87119,0.54039,0.50379,0.08701,0.48546,3.19863
good,A,6.81,1.82427,1.25596,0.72052,0.42908,0.11069,0.49401,3.19131
good,A,5.132,1.870765686,0.26135,0.40306,0.14622,0.1388,0.50156,3.18286
good,A,7.226,0.119041793,1.23788,0.86027,0.63376,0.10583,0.50318,3.17728
good,A,6.481,0.1327,1.02169,0.59659,0.44735,0.05399,0.51479,3.17471
good,A,6.65,0.161925331,1.06612,0.69711,0.42284,0.07296,0.51535,3.12985
good,A,5.151000023,0.17417,0.721151352,0.113989137,0.602126956,0.291631311,0.51752,3.11748457
good,A,5.889,0.18847,1.01528,0.61826,0.32818,0.01615,0.51912,3.10712
good,A,5.194,0.19073,0.41411,0.51466,0.12102,0.10464,0.56237,3.10709
good,A,7.278,0.20824,1.22393,0.91387,0.41319,0.07785,0.56521,3.08854
good,A,5.956,1.44024,0.68655,0.45569,0.51231,0.10771,0.5763,3.08039
good,A,6.269,1.44163394,0.77866,0.50933,0.52234,0.12692,0.58696,3.06852
good,A,4.971,1.44178,1.02626,0.09131,0.34037,0.15603,0.79588,3.05137
good,A,6.13,1.443571925,1.02507,0.67737,0.4035,0.11776,0.81971,3.035
good,A,4.635,1.44443,0.628,NA,0.30685,0.08196,20.10989,3.01402
good,A,7.039,1.44787,1.08113,0.77758,0.46823,0.12275,0.03751383,3.0076
good,A,6.701,1.45038,0.98912,0.70835,0.48927,0.08423,0.038948249,3.00559
good,A,6.084,1.45181,1.03302,0.61904,0.19847,0.08304,0.03936,2.97468
good,A,6.596,1.459,1.00793,0.76376,0.41418,0.03986,0.039439179,2.96211
good,A,6.705,1.463780761,0.90587,0.81883,0.37789,0.11451,0.039864216,2.95505
good,A,5.151,1.46468,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891
good,A,5.822,1.479204416,0.83779,0.4697,0.50961,0.07746,0.040903781,2.91635
good,A,7.078999996,1.48063302,1.416403651,0.759509265,0.58013165,0.214613229,0.041237976,2.898639202
good,A,6.453999996,1.482383013,1.255585194,0.54023999,0.531310618,0.283488393,0.042181555,2.893891096
good,A,5.268,1.48341,0.90432,0.16007,0.34334,0.0403,0.0425,2.89319
good,A,4.875,1.484414935,0.64498,0.05108,0.27854,0.0305,0.04310311,2.88586
good,A,4.517,1.487097263,1.0012,0.09806,0.22605,0.07625,0.043289777,2.86712
good,A,6.477,0.2852,1.24018,0.69077,0.53466,0.0512,0.045128979,2.85737
good,A,6.786,0.28665,1.1985,0.79661,0.5421,0.0927,0.046668742,2.84848
